"Date","Price","Open","High","Low","Vol.","Change %"
"May 21, 2021","416.34","417.06","418.20","416.24","27.72M","0.26%"
"May 20, 2021","415.28","411.77","416.60","411.70","78.02M","1.08%"
"May 19, 2021","410.86","406.79","410.95","405.38","106.47M","-0.26%"
"May 18, 2021","411.94","415.92","416.03","411.79","59.81M","-0.86%"
"May 17, 2021","415.52","416.58","416.58","413.41","65.13M","-0.25%"
"May 16, 2021","416.58","416.58","416.58","416.58","-","0.00%"
"May 15, 2021","416.58","416.58","416.58","416.58","-","0.00%"
"May 14, 2021","416.58","413.21","417.49","413.21","82.20M","1.54%"
"May 13, 2021","410.28","407.21","412.34","407.13","106.39M","1.20%"
"May 12, 2021","405.41","411.00","412.57","404.82","134.81M","-2.12%"
"May 11, 2021","414.21","412.75","415.23","410.15","116.89M","-0.89%"
"May 10, 2021","417.94","422.62","422.63","417.83","81.85M","-0.99%"
"May 07, 2021","422.12","419.96","422.81","419.18","67.73M","0.73%"
"May 06, 2021","419.07","415.80","419.21","413.69","74.32M","0.80%"
"May 05, 2021","415.75","417.38","417.63","415.15","39.96M","0.03%"
"May 04, 2021","415.62","416.07","416.60","411.67","101.59M","-0.62%"
"May 03, 2021","418.20","419.29","419.81","417.67","68.13M","0.22%"
"Apr 30, 2021","417.30","417.63","418.54","416.34","85.53M","-0.66%"
"Apr 29, 2021","420.06","420.32","420.72","416.44","78.54M","0.64%"
"Apr 28, 2021","417.40","417.81","419.01","416.90","51.24M","-0.03%"
"Apr 27, 2021","417.52","417.93","418.14","416.30","51.30M","-0.02%"
"Apr 26, 2021","417.61","417.44","418.22","416.81","52.18M","0.21%"
"Apr 23, 2021","416.74","412.87","418.25","412.81","73.28M","1.08%"
"Apr 22, 2021","412.27","415.86","416.78","411.17","97.58M","-0.91%"
"Apr 21, 2021","416.07","411.43","416.21","411.37","66.79M","0.95%"
"Apr 20, 2021","412.17","413.91","414.62","410.63","81.85M","-0.73%"
"Apr 19, 2021","415.21","417.26","417.26","413.80","78.50M","-0.49%"
"Apr 18, 2021","417.26","417.26","417.26","417.26","-","0.00%"
"Apr 17, 2021","417.26","417.26","417.26","417.26","-","0.00%"
"Apr 16, 2021","417.26","417.25","417.90","415.74","82.04M","0.33%"
"Apr 15, 2021","415.87","413.79","416.15","413.70","60.23M","1.07%"
"Apr 14, 2021","411.45","412.82","413.92","410.87","61.66M","-0.34%"
"Apr 13, 2021","412.86","411.56","413.52","411.14","56.55M","0.30%"
"Apr 12, 2021","411.64","410.84","411.92","410.21","56.70M","0.04%"
"Apr 11, 2021","411.49","411.49","411.49","411.49","-","0.00%"
"Apr 10, 2021","411.49","411.49","411.49","411.49","-","0.00%"
"Apr 09, 2021","411.49","408.39","411.63","408.31","61.10M","0.73%"
"Apr 08, 2021","408.52","407.94","408.56","406.95","57.86M","0.47%"
"Apr 07, 2021","406.59","405.99","406.94","405.48","55.84M","0.12%"
"Apr 06, 2021","406.12","405.78","407.22","405.45","62.02M","-0.06%"
"Apr 05, 2021","406.36","403.53","406.92","403.42","91.68M","1.44%"
"Apr 01, 2021","400.61","398.40","400.66","398.26","99.68M","1.08%"
"Mar 31, 2021","396.33","395.37","397.99","395.37","112.73M","0.41%"
"Mar 30, 2021","394.73","394.47","395.39","393.04","76.26M","-0.27%"
"Mar 29, 2021","395.78","394.48","396.74","392.82","108.11M","-0.05%"
"Mar 26, 2021","395.98","390.93","396.41","390.29","114.41M","1.61%"
"Mar 25, 2021","389.70","385.94","390.52","383.91","116.13M","0.56%"
"Mar 24, 2021","387.52","390.94","392.74","387.52","97.59M","-0.51%"
"Mar 23, 2021","389.50","391.93","393.44","388.66","90.69M","-0.79%"
"Mar 22, 2021","392.59","390.23","394.01","390.01","73.78M","0.80%"
"Mar 21, 2021","389.48","389.48","389.48","389.48","-","0.00%"
"Mar 19, 2021","389.48","389.88","391.57","387.15","113.62M","-0.51%"
"Mar 18, 2021","391.48","394.52","396.72","390.92","115.35M","-1.45%"
"Mar 17, 2021","397.26","394.53","398.07","393.32","97.96M","0.34%"
"Mar 16, 2021","395.91","397.18","397.81","395.09","73.72M","-0.13%"
"Mar 15, 2021","396.41","394.31","396.68","392.05","73.59M","0.60%"
"Mar 14, 2021","394.06","394.06","394.06","394.06","-","0.00%"
"Mar 12, 2021","394.06","392.00","394.20","391.21","64.65M","0.13%"
"Mar 11, 2021","393.53","392.26","395.63","391.75","86.25M","1.01%"
"Mar 10, 2021","389.58","389.74","391.38","388.20","109.90M","0.62%"
"Mar 09, 2021","387.17","385.99","389.91","385.36","113.63M","1.43%"
"Mar 08, 2021","381.72","384.57","387.66","381.46","123.15M","-0.50%"
"Mar 05, 2021","383.63","380.46","384.76","372.64","152.04M","1.84%"
"Mar 04, 2021","376.70","381.22","384.00","371.88","179.62M","-1.24%"
"Mar 03, 2021","381.42","385.79","386.83","381.31","116.69M","-1.32%"
"Mar 02, 2021","386.54","389.82","390.07","386.00","78.30M","-0.78%"
"Mar 01, 2021","389.58","385.59","390.92","380.57","104.23M","2.42%"
"Feb 26, 2021","380.36","384.35","385.58","378.23","152.70M","-0.52%"
"Feb 25, 2021","382.33","390.41","391.88","380.78","145.10M","-2.41%"
"Feb 24, 2021","391.77","386.33","392.23","385.27","72.43M","1.10%"
"Feb 23, 2021","387.50","384.66","388.95","380.20","106.18M","0.12%"
"Feb 22, 2021","387.03","387.06","389.62","386.74","66.65M","-0.77%"
"Feb 19, 2021","390.03","392.07","392.38","389.55","83.24M","-0.18%"
"Feb 18, 2021","390.72","389.59","391.52","387.74","59.35M","-0.43%"
"Feb 17, 2021","392.39","390.42","392.66","389.33","51.97M","0.02%"
"Feb 16, 2021","392.30","393.96","394.17","391.53","50.36M","-0.09%"
"Feb 12, 2021","392.64","389.85","392.90","389.77","50.59M","0.49%"
"Feb 11, 2021","390.71","391.24","391.69","388.10","42.25M","0.16%"
"Feb 10, 2021","390.08","392.12","392.28","387.50","58.53M","-0.04%"
"Feb 09, 2021","390.25","389.61","390.89","389.17","34.85M","-0.07%"
"Feb 08, 2021","390.51","389.27","390.56","388.35","37.53M","0.72%"
"Feb 05, 2021","387.71","388.20","388.47","386.14","48.67M","0.39%"
"Feb 04, 2021","386.19","382.96","386.24","381.97","46.44M","1.14%"
"Feb 03, 2021","381.85","382.43","383.70","380.48","50.83M","0.08%"
"Feb 02, 2021","381.55","379.65","383.22","376.32","63.26M","1.41%"
"Feb 01, 2021","376.23","373.72","377.34","370.38","74.87M","1.66%"
"Jan 29, 2021","370.07","375.63","376.67","368.27","126.77M","-2.00%"
"Jan 28, 2021","377.63","376.36","381.93","375.89","91.82M","0.86%"
"Jan 27, 2021","374.41","380.22","380.32","372.01","120.35M","-2.44%"
"Jan 26, 2021","383.79","385.41","385.85","383.54","41.44M","-0.16%"
"Jan 25, 2021","384.39","383.67","384.77","378.46","69.88M","0.39%"
"Jan 22, 2021","382.88","382.25","384.13","381.83","52.14M","-0.35%"
"Jan 21, 2021","384.24","384.49","384.95","383.25","47.20M","0.09%"
"Jan 20, 2021","383.89","381.11","384.79","380.69","61.03M","1.38%"
"Jan 19, 2021","378.65","378.34","379.23","376.75","50.79M","0.79%"
"Jan 15, 2021","375.70","376.72","377.58","373.70","107.16M","-0.73%"
"Jan 14, 2021","378.46","380.59","381.13","378.10","48.69M","-0.35%"
"Jan 13, 2021","379.79","378.69","380.86","377.85","44.55M","0.27%"
"Jan 12, 2021","378.77","378.89","379.86","376.36","51.68M","0.02%"
"Jan 11, 2021","378.69","377.85","380.58","377.72","50.68M","-0.67%"
