"Date","Price","Open","High","Low","Vol.","Change %"
"May 21, 2021","104.28","104.83","106.52","104.28","137.30K","1.85%"
"May 20, 2021","102.39","100.95","103.00","98.35","370.83K","1.92%"
"May 19, 2021","100.46","97.55","100.46","95.00","606.34K","-2.33%"
"May 18, 2021","102.86","104.70","107.49","102.60","324.61K","-2.31%"
"May 17, 2021","105.29","102.84","105.29","100.59","355.20K","0.48%"
"May 16, 2021","104.79","104.79","104.79","104.79","-","0.00%"
"May 15, 2021","104.79","104.79","104.79","104.79","-","0.00%"
"May 14, 2021","104.79","100.22","105.09","99.41","409.80K","7.37%"
"May 13, 2021","97.60","94.35","99.68","92.88","731.64K","5.39%"
"May 12, 2021","92.61","99.48","102.23","92.20","739.43K","-9.75%"
"May 11, 2021","102.62","96.69","103.78","96.18","730.17K","-0.86%"
"May 10, 2021","103.51","111.94","112.33","103.51","494.96K","-7.72%"
"May 07, 2021","112.17","108.07","112.84","107.46","408.28K","3.66%"
"May 06, 2021","108.21","107.43","108.22","102.60","395.46K","0.43%"
"May 05, 2021","107.75","110.51","110.28","106.43","124.10K","-1.16%"
"May 04, 2021","109.02","111.04","111.45","105.59","417.34K","-3.67%"
"May 03, 2021","113.17","114.89","115.10","111.59","280.00K","1.42%"
"Apr 30, 2021","111.58","112.77","115.80","110.37","378.99K","-4.05%"
"Apr 29, 2021","116.29","120.71","120.71","112.89","605.92K","-1.05%"
"Apr 28, 2021","117.52","116.29","118.52","114.95","368.94K","0.50%"
"Apr 27, 2021","116.93","117.43","118.31","115.55","576.19K","0.49%"
"Apr 26, 2021","116.36","114.79","117.28","114.48","463.33K","3.22%"
"Apr 23, 2021","112.73","108.64","114.17","107.92","618.22K","5.36%"
"Apr 22, 2021","106.99","109.43","112.22","105.81","826.97K","-1.12%"
"Apr 21, 2021","108.20","99.91","108.26","99.11","690.95K","7.09%"
"Apr 20, 2021","101.04","106.08","106.85","98.17","790.47K","-5.94%"
"Apr 19, 2021","107.42","110.35","110.92","104.88","738.95K","-3.96%"
